"node"	"def_XML"	"def_HTML"
"ls:fr:node:37918"	"<!-- $1 solaire -->

<definiens>
<df-semanteme>

	<assert>
	
		<cc id='cc'>
			<scc id='scc' dom='st.relatif'>
			<ap id='a1'>$1</ap> <st id='st.relatif' sem='0'>relatif</st>
			au <st id='st.soleil_ciel' sense='ls:fr:node:55064' sem='2'>soleil</st> dans le ciel
			ou au <st id='st.soleil_espace' sense='ls:fr:node:37921' sem='2'>soleil</st> dans l’espace
			</scc> 
		</cc>

	</assert>

</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>


	
	
		<p class='cc'>
			
			<span style='font-family:courier;font-size:13px;'>$1</span> <span style='font-family:courier;font-size:13px;'>relatif</span>
			au <a href='openSens/ls:fr:node:55064' style='text-decoration:none;'><span class='st'>soleil</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> dans le ciel
			ou au <a href='openSens/ls:fr:node:37921' style='text-decoration:none;'><span class='st'>soleil</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> dans l’espace
			 
		</p>

	


</body>
</html>
"
"ls:fr:node:37921"	"<!-- le Soleil -->

<definiens>
<df-semanteme>

	<assert>
	
		<cc id='cc'>
			<scc id='scc' dom='st.étoile'>
			<st id='st.étoile' sense='ls:fr:node:27422' sem='2'>étoile</st>
			</scc> 
		</cc>

		<pc id='pc1' anchor='st.étoile' role='location' dom='st.orbiter'>
		autour de laquelle la <st id='st.Terre' sense='ls:fr:node:31042' sem='2'>Terre</st> <st id='st.orbiter' sense='ls:fr:node:56915' sem='2'>orbite</st>
		</pc>

		<pc id='pc2' anchor='st.étoile' role='role'>
		qui <st id='st.émettre' sense='ls:fr:node:49661' sem='1'>émet</st> la <st id='st.chaleur' sense='ls:fr:node:48593' sem='2'>chaleur</st>
		et la <st id='st.lumière' sense='ls:fr:node:28181' sem='2'>lumière</st> qui permettent la <st id='st.vie' sense='ls:fr:node:29828' sem='2'>vie</st>
		sur la <st id='st.TerreCoref' sense='ls:fr:node:31042' sem='0' coref='st.Terre'>Terre</st>
		</pc>

		<pc id='pc3' anchor='st.étoile' role='location'>
		qui est <st id='st.visible' sense='ls:fr:node:33674' sem='1'>visible</st> depuis la <st id='st.TerreCoref2' sense='ls:fr:node:31042' sem='0' coref='st.Terre'>Terre</st>
		en tant que <st id='st.soleil_ciel' sense='ls:fr:node:55064' sem='2'>soleil</st> dans le ciel
		</pc>

	</assert>

</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>


	
	
		<p class='cc'>
			
			<a href='openSens/ls:fr:node:27422' style='text-decoration:none;'><span class='st'>étoile</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			 
		</p>

		<p class='assert_pc'>
		autour de laquelle la <a href='openSens/ls:fr:node:31042' style='text-decoration:none;'><span class='st'>Terre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <a href='openSens/ls:fr:node:56915' style='text-decoration:none;'><span class='st'>orbite</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		</p>

		<p class='assert_pc'>
		qui <a href='openSens/ls:fr:node:49661' style='text-decoration:none;'><span class='st'>émet</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> la <a href='openSens/ls:fr:node:48593' style='text-decoration:none;'><span class='st'>chaleur</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		et la <a href='openSens/ls:fr:node:28181' style='text-decoration:none;'><span class='st'>lumière</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> qui permettent la <a href='openSens/ls:fr:node:29828' style='text-decoration:none;'><span class='st'>vie</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		sur la <a href='openSens/ls:fr:node:31042' style='text-decoration:none;'><span class='st'>Terre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		</p>

		<p class='assert_pc'>
		qui est <a href='openSens/ls:fr:node:33674' style='text-decoration:none;'><span class='st'>visible</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> depuis la <a href='openSens/ls:fr:node:31042' style='text-decoration:none;'><span class='st'>Terre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		en tant que <a href='openSens/ls:fr:node:55064' style='text-decoration:none;'><span class='st'>soleil</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> dans le ciel
		</p>

	


</body>
</html>
"
"ls:fr:node:37933"	"<!-- $1 est un solide -->

<definiens>
	<df-semanteme>

		<assert>
		
               <cc id='cc'>
				<scc id='scc' dom='s1'>

			<ap id='a1'>$1</ap> est une <st id='s2' sense='ls:fr:node:28279' sem='2' actants='a1'>matière</st> 
				
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='phys_spec.consistency'>
			qui est <st id='s1' sense='ls:fr:node:29446' sem='2' actants='a1'>solide</st>
			</pc>

	
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
               <p class='cc'>
				

			<span style='font-family:courier;font-size:13px;'>$1</span> est une <a href='openSens/ls:fr:node:28279' style='text-decoration:none;'><span class='st'>matière</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
				
				
			</p>

			<p class='assert_pc'>
			qui est <a href='openSens/ls:fr:node:29446' style='text-decoration:none;'><span class='st'>solide</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>

	
		
	
</body>
</html>
"
"ls:fr:node:38713"	"<!-- $1 taille un costume à $2 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est un <at label='ls:fr:atlab:383' anchor='a1'>individu</at></tc>

			<tc id='tc2' anchor='scc' role='actant_type'><ap id='a2'>$2</ap> est un <at label='ls:fr:atlab:383' anchor='a2'>individu</at></tc>
		
		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc' dom='s1'>
				<ap coref='a1'>$1</ap> <st id='s1' sense='ls:fr:node:26970' sem='2' actants='a1 a2 aa1 aa2'>critique</st> <ap coref='a2'>$2</ap> à propos de <aap id='aa1'>Ω1</aap> devant <aap id='aa2'>Ω2</aap>
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='goal' dom='s2'>
			de façon <st id='s2' sense='ls:fr:node:55562' sem='2' actants='s1'>malintentionnée</st>
			</pc>

			<pc anchor='scc' role='manner' dom='s3'>
			de façon <st id='s3' sense='ls:fr:node:55561' sem='1' actants='s1'>argumentée</st>
			</pc>

			<pc anchor='cc' role='result' dom='s4'>
			ce qui a pour <st id='s4' sense='ls:fr:node:26883' sem='0' actants='s5 s1'>conséquence</st>
			de <st id='s5' sense='ls:fr:node:28522' sem='2' actants='s1 s6'>nuire</st> à la <st id='s6' sense='ls:fr:node:32241' sem='2' actants='a1 aa2'>réputation</st> de <ap coref='a2'>$2</ap> auprès de <aap coref='aa2'>Ω2</aap>
			</pc>
			
			
		</assert>
	</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est un <span style='font-family:courier;font-size:13px;'>individu</span></span></p>

			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$2</span> est un <span style='font-family:courier;font-size:13px;'>individu</span></span></p>
		
		

		
		
			<p class='cc'>
				
				<span style='font-family:courier;font-size:13px;'>$1</span> <a href='openSens/ls:fr:node:26970' style='text-decoration:none;'><span class='st'>critique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span> à propos de Ω1 devant Ω2
				
			</p>

			<p class='assert_pc'>
			de façon <a href='openSens/ls:fr:node:55562' style='text-decoration:none;'><span class='st'>malintentionnée</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>

			<p class='assert_pc'>
			de façon <a href='openSens/ls:fr:node:55561' style='text-decoration:none;'><span class='st'>argumentée</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>

			<p class='assert_pc'>
			ce qui a pour <a href='openSens/ls:fr:node:26883' style='text-decoration:none;'><span class='st'>conséquence</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			de <a href='openSens/ls:fr:node:28522' style='text-decoration:none;'><span class='st'>nuire</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> à la <a href='openSens/ls:fr:node:32241' style='text-decoration:none;'><span class='st'>réputation</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>$2</span> auprès de Ω2
			</p>
			
			
		
	
</body>
</html>
"
"ls:fr:node:38738"	"<!-- ~ Y=$2 célébrée par X=$1 -->

<definiens>
	<df-semanteme>	
		<assert>
		
		<cc id='cc'> <st id='s1' sense='ls:fr:node:54138' actants='a1 a2 s4'>célébration</st> <st id='s2' sense='ls:fr:node:51638' actants='s1'>annuelle</st> 
		par <ap id='a1'>$1</ap> des <ap id='a2'>$2</ap> qui sont <st id='s3' sense='ls:fr:node:28327' actants='a2 s6'>mères</st> de <st id='s6'>qqn</st>
	     </cc>

		<pc id='pc1' anchor='cc' role='behavior'>pendant laquelle <ap coref='a1'>$1</ap> <st id='s4' sense='ls:fr:node:34122' actants='a1 s5 a2'>offre</st> 
		des <st id='s5' sense='ls:fr:node:26600' actants='a1 a2 s1'>cadeaux</st> à <ap coref='a2'>$2</ap></pc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
		
		
		
		<p class='cc'> <a href='openSens/ls:fr:node:54138' style='text-decoration:none;'><span class='st'>célébration</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <a href='openSens/ls:fr:node:51638' style='text-decoration:none;'><span class='st'>annuelle</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
		par <span style='font-family:courier;font-size:13px;'>$1</span> des <span style='font-family:courier;font-size:13px;'>$2</span> qui sont <a href='openSens/ls:fr:node:28327' style='text-decoration:none;'><span class='st'>mères</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>qqn</span>
	     </p>

		<p class='assert_pc'>pendant laquelle <span style='font-family:courier;font-size:13px;'>$1</span> <a href='openSens/ls:fr:node:34122' style='text-decoration:none;'><span class='st'>offre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
		des <a href='openSens/ls:fr:node:26600' style='text-decoration:none;'><span class='st'>cadeaux</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> à <span style='font-family:courier;font-size:13px;'>$2</span></p>
		
	
</body>
</html>
"
"ls:fr:node:38955"	"<!-- ~ -->

<definiens>
	<df-semanteme>
		<assert>
			<cc id='cc'>
				<scc id='scc'>
                       taux annuel de <st id='s1' sense='ls:fr:node:30174'>divorce</st> 
					par rapport à l’effectif moyen de la population
				</scc>
			</cc>
			
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='cc'>
				
                       taux annuel de <a href='openSens/ls:fr:node:30174' style='text-decoration:none;'><span class='st'>divorce</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
					par rapport à l’effectif moyen de la population
				
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:38988"	"<!-- substance -->

<definiens>
	<df-semanteme>

		<assert>
		
               <cc id='cc'>
				<scc id='scc' dom='s1'>

				<st id='s2' sense='ls:fr:node:29742' sem='0' actants='s1'>type</st> de <st id='s1' sense='ls:fr:node:28279' sem='2'>matière</st> 
				 
				
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='phys_spec.composition'>
			qui a une composition constante
			</pc>

			<pc id='pc2' anchor='scc' role='behavior'>
			qui a des <setst id='sets1' sense='ls:fr:node:55656' sem='2' actants='aap1 s2'>proprietés</setst>
			<st id='s3' sense='ls:fr:node:31631' sem='0' actants='sets1'>caractéristiques</st> {<aap id='aap1'>Ω</aap>} constantes
			</pc>
	</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
               <p class='cc'>
				

				<a href='openSens/ls:fr:node:29742' style='text-decoration:none;'><span class='st'>type</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <a href='openSens/ls:fr:node:28279' style='text-decoration:none;'><span class='st'>matière</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
				 
				
				
			</p>

			<p class='assert_pc'>
			qui a une composition constante
			</p>

			<p class='assert_pc'>
			qui a des <a href='openSens/ls:fr:node:55656' style='text-decoration:none;'><span class='setst'>proprietés</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			<a href='openSens/ls:fr:node:31631' style='text-decoration:none;'><span class='st'>caractéristiques</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> {Ω} constantes
			</p>
	
	
</body>
</html>
"
"ls:fr:node:39293"	"<!-- $1, qui est une ~ -->

<definiens>
	<df-semanteme>
		<assert>
			<cc id='cc'>
				<ap id='a1'>$1</ap>
				de <st id='s4' sense='ls:fr:node:51417' actants='a1'>sexe féminin</st>
				<st id='s1' coref='a1'>qui</st> est une <st id='s2' sense='ls:fr:node:31565' coref='a1 s3'>amatrice</st> de <st id='s3' sense='ls:fr:node:27584'>football</st>
			</cc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='cc'>
				<span style='font-family:courier;font-size:13px;'>$1</span>
				de <a href='openSens/ls:fr:node:51417' style='text-decoration:none;'><span class='st'>sexe féminin</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				<span style='font-family:courier;font-size:13px;'>qui</span> est une <a href='openSens/ls:fr:node:31565' style='text-decoration:none;'><span class='st'>amatrice</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <a href='openSens/ls:fr:node:27584' style='text-decoration:none;'><span class='st'>football</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>
		
	
</body>
</html>
"
"ls:fr:node:39294"	"<!-- $1, qui est un ~ -->

<definiens>
	<df-semanteme>
		<assert>
			<cc id='cc'>
				<ap id='a1'>$1</ap>
				<st id='s1' coref='a1'>qui</st> est un <st id='s2' sense='ls:fr:node:26280' coref='a1 s3'>amateur</st> de <st id='s3' sense='ls:fr:node:27584'>football</st>
			</cc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='cc'>
				<span style='font-family:courier;font-size:13px;'>$1</span>
				<span style='font-family:courier;font-size:13px;'>qui</span> est un <a href='openSens/ls:fr:node:26280' style='text-decoration:none;'><span class='st'>amateur</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <a href='openSens/ls:fr:node:27584' style='text-decoration:none;'><span class='st'>football</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>
		
	
</body>
</html>
"
"ls:fr:node:39295"	"<!-- sentiment de $1 (causé par $2) de nature $3 -->

<definiens>
<df-semanteme>

<assert>

	<cc id='cc'>
	<scc id='scc' dom='st.état_psychique'><st id='st.état_psychique' sense='ls:fr:node:56899' sem='2'>état psychique</st>
	de <ap id='a1'>$1</ap> <wc>causé par <ap id='a2'>$2</ap></wc>
	</scc>	
	</cc>

	<pc id='pc1' anchor='scc' role='value' dom='a3'>de nature <ap id='a3'>$3</ap></pc>

	<pc id='pc2' anchor='scc' role='polarity' dom='st.positif'><wc><st id='st.positif' sense='ls:fr:node:51894' sem='2'>positif</st>
	ou <st id='st.négatif' sense='ls:fr:node:55328' sem='2'>négatif</st></wc></pc>

	<pc id='pc3' anchor='scc' role='intensity' dom='st.intensité'><st id='st.intensité' sense='ls:fr:node:36879' sem='2'>plus ou moins intense</st></pc>

	<pc id='pc4' anchor='scc' role='result' dom='st.affecter'>
	qui <st id='st.affecter' sense='ls:fr:node:48560' sem='2'>affecte</st> <ap coref='a1'>$1</ap>
	</pc>

</assert>

</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>




	<p class='cc'>
	<a href='openSens/ls:fr:node:56899' style='text-decoration:none;'><span class='st'>état psychique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	de <span style='font-family:courier;font-size:13px;'>$1</span> <span style='font-weight:bold;'>(</span>causé par <span style='font-family:courier;font-size:13px;'>$2</span><span style='font-weight:bold;'>)</span>
		
	</p>

	<p class='assert_pc'>de nature <span style='font-family:courier;font-size:13px;'>$3</span></p>

	<p class='assert_pc'><span style='font-weight:bold;'>(</span><a href='openSens/ls:fr:node:51894' style='text-decoration:none;'><span class='st'>positif</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	ou <a href='openSens/ls:fr:node:55328' style='text-decoration:none;'><span class='st'>négatif</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a><span style='font-weight:bold;'>)</span></p>

	<p class='assert_pc'><a href='openSens/ls:fr:node:36879' style='text-decoration:none;'><span class='st'>plus ou moins intense</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a></p>

	<p class='assert_pc'>
	qui <a href='openSens/ls:fr:node:48560' style='text-decoration:none;'><span class='st'>affecte</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span>
	</p>




</body>
</html>
"
"ls:fr:node:39842"	"<definiens>
	<df-semanteme>
		<presup>
			<pc id='p1' anchor='scc' role='context'><st id='s3' sem='0' coref='s2'>Alpha</st> présentant un risque pour <ap id='a2' coref='a1'>$1</ap></pc>
		</presup>
		<assert>
			<cc id='cc'>
				<scc id='scc'>
					<ap id='a1'>$1</ap> limite les effets négatifs de <st id='s2' sem='0' actants='a1'>Alpha</st>
				</scc>
			</cc>
			<pc id='pc2' anchor='scc' role='means'>en faisant quelque chose lié à Alpha</pc>
			<pc id='pc3' anchor='scc' role='result'>ce qui permet à <ap id='a3' coref='a1'>$1</ap> d’être dans une situation la moins mauvaise possible</pc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='presup_pc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>Alpha</span> présentant un risque pour <span style='font-family:courier;font-size:13px;'>$1</span></span></p>
		
		
			<p class='cc'>
				
					<span style='font-family:courier;font-size:13px;'>$1</span> limite les effets négatifs de <span style='font-family:courier;font-size:13px;'>Alpha</span>
				
			</p>
			<p class='assert_pc'>en faisant quelque chose lié à Alpha</p>
			<p class='assert_pc'>ce qui permet à <span style='font-family:courier;font-size:13px;'>$1</span> d’être dans une situation la moins mauvaise possible</p>
		
	
</body>
</html>
"
"ls:fr:node:40334"	"<!-- [$1] terrestre -->

<definiens>
	<df-semanteme>
		<assert>
			<cc id='cc'>
			<co><ap id='a1'>$1</ap></co> de la <st sense='ls:fr:node:31042'>Terre</st>
			</cc>
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='cc'>
			<span style='color:gray;'><span style='font-family:courier;font-size:13px;'>$1</span></span> de la <a href='openSens/ls:fr:node:31042' style='text-decoration:none;'><span class='st'>Terre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>
		
	
</body>
</html>
"
"ls:fr:node:40466"	"<!-- ~ Y=$2 célébrée par X=$1 -->

<definiens>
	<df-semanteme>	
		<assert>
		
		<cc id='cc'> <st id='s1' sense='ls:fr:node:54138' actants='a1 a2 s4'>célébration</st> <st id='s2' sense='ls:fr:node:51638' actants='s1'>annuelle</st> 
		par <ap id='a1'>$1</ap> des <ap id='a2'>$2</ap> qui sont <st id='s3' sense='ls:fr:node:27729' actants='a2 s6'>grands-mères</st> de <st id='s6'>qqn</st>
	     </cc>

		<pc id='pc1' anchor='cc' role='behavior'>pendant laquelle <ap coref='a1'>$1</ap> <st id='s4' sense='ls:fr:node:34122' actants='a1 s5 a2'>offre</st> 
		des <st id='s5' sense='ls:fr:node:26600' actants='a1 a2'>cadeaux</st> à <ap coref='a2'>$2</ap></pc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
		
		
		
		<p class='cc'> <a href='openSens/ls:fr:node:54138' style='text-decoration:none;'><span class='st'>célébration</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <a href='openSens/ls:fr:node:51638' style='text-decoration:none;'><span class='st'>annuelle</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
		par <span style='font-family:courier;font-size:13px;'>$1</span> des <span style='font-family:courier;font-size:13px;'>$2</span> qui sont <a href='openSens/ls:fr:node:27729' style='text-decoration:none;'><span class='st'>grands-mères</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>qqn</span>
	     </p>

		<p class='assert_pc'>pendant laquelle <span style='font-family:courier;font-size:13px;'>$1</span> <a href='openSens/ls:fr:node:34122' style='text-decoration:none;'><span class='st'>offre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
		des <a href='openSens/ls:fr:node:26600' style='text-decoration:none;'><span class='st'>cadeaux</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> à <span style='font-family:courier;font-size:13px;'>$2</span></p>
		
	
</body>
</html>
"
"ls:fr:node:40615"	"<definiens>
	<df-semanteme>
		<presup>
			<pc id='pc1' anchor='scc1' role='context'><ap id='a5' coref='a3'>$2.2</ap> voulant que <ap id='a6' coref='a2'>$2.1</ap> ait lieu</pc>
		</presup>
		<assert>
			<cc id='cc1'>
				<scc id='scc1'>
				<ap id='a1'>$1</ap> <st id='s1' sense='ls:fr:node:27273' sem='2' actants='a1 a2 a4'>empêche</st> <ap id='a2' actants='a3'>$2.1</ap>  de <ap id='a3'>$2.2</ap> 
				avec <ap id='a4'>$3</ap>
				</scc>
			</cc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='presup_pc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$2.2</span> voulant que <span style='font-family:courier;font-size:13px;'>$2.1</span> ait lieu</span></p>
		
		
			<p class='cc'>
				
				<span style='font-family:courier;font-size:13px;'>$1</span> <a href='openSens/ls:fr:node:27273' style='text-decoration:none;'><span class='st'>empêche</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2.1</span>  de <span style='font-family:courier;font-size:13px;'>$2.2</span> 
				avec <span style='font-family:courier;font-size:13px;'>$3</span>
				
			</p>
		
	
</body>
</html>
"
"ls:fr:node:40652"	"<definiens>
	<df-semanteme>
		<presup>
			<tc id='tc' anchor='a1' role='actant_type'>
			<ap id='a2' coref='a1'>$1</ap> est un véhicule terrestre
			</tc>
		</presup>
		<assert>
			<cc>
				<scc id='scc'>
					<ap id='a1'>$1</ap> est fiable
				</scc>
			</cc>
			<pc id='pc1' anchor='scc' role='info_content'>
				du fait que <ap id='a3' coref='a1'>$1</ap> reste dans l’axe dans lequel le met son conducteur
				quand celui-ci se déplace avec <ap id='a4' coref='a1'>$1</ap>
			</pc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			
			<span style='font-family:courier;font-size:13px;'>$1</span> est un véhicule terrestre
			
		
		
			<p class='cc'>
				
					<span style='font-family:courier;font-size:13px;'>$1</span> est fiable
				
			</p>
			<p class='assert_pc'>
				du fait que <span style='font-family:courier;font-size:13px;'>$1</span> reste dans l’axe dans lequel le met son conducteur
				quand celui-ci se déplace avec <span style='font-family:courier;font-size:13px;'>$1</span>
			</p>
		
	
</body>
</html>
"
"ls:fr:node:40653"	"<definiens>
	<df-semanteme>
		<assert>
			<cc>
				<scc id='scc'>
					<ap id='a1'>$1</ap> est valide
				</scc>
			</cc>
			<pc id='pc1' anchor='scc' role='info_content'>
				du fait que <ap id='a2' coref='a1'>$1</ap> permettra d’obtenir des résultats souhaités
			</pc>
		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<p class='cc'>
				
					<span style='font-family:courier;font-size:13px;'>$1</span> est valide
				
			</p>
			<p class='assert_pc'>
				du fait que <span style='font-family:courier;font-size:13px;'>$1</span> permettra d’obtenir des résultats souhaités
			</p>
		
	
</body>
</html>
"
