name,POS,lexical_function,targets,example,group_id
vaccination,nom,A_0,['vaccinal'],La vaccination est recommandée mais non obligatoire. Elle débutera le 12 juin 2006.,vaccination||nom||A_0
algèbre,nom,A_0,['algébrique'],...faut que je t’apprenne à le résoudre par l’algèbre.,algèbre||nom||A_0
estomac,nom,A_0,"['gastrique', 'stomacal']",...alcaliniser les aliments acides à la sortie de l’estomac.,estomac||nom||A_0
nombre,nom,A_0,"['numérique', 'numéral']","...poser le problème suivant : si je prends le nombre 2 517 à la puissance 513, par quel chiffre se termine-t-il ? Et il me donnait...",nombre||nom||A_0
paternellement,adverbe,A_0,['paternel'],"Je regardais paternellement ses petites mains qui bougeaient, qui bougeaient en ce temps-là.",paternellement||adverbe||A_0
exception,nom,A_0,['exceptionnel'],"...par les pas. Je dis bien en principe, car les exceptions sont suffisamment fréquentes : un pas de danse peut meubler un silence musical,...",exception||nom||A_0
toucher,nom,A_0,['tactile'],"...délicieuses, flattant les yeux, le goût, l’odorat, le toucher, prodiges sensuels de la magnificence du monde offerte aux sens en éveil de...",toucher||nom||A_0
relation,nom,A_0,['relationnel'],"...dans l’histoire de ses propres écritures, une relation de succession (l’une puis l’autre) et d’opposition.",relation||nom||A_0
marbre,nom,A_0,['marbrier'],"...lit de style Napoléon III, une cheminée en marbre noir et, au-dessus, une image du Sacré-Cœur.",marbre||nom||A_0
amarante,nom,A_0,['amarante'],"...maintes hésitations, Alice s’arrête sur de l’amarante.",amarante||nom||A_0
collaborer,verbe,A_0,['collaborateur'],"...du conseil municipal de Paris et s’apprête à collaborer avec les Allemands, dès leur entrée dans la ville.",collaborer||verbe||A_0
palais,nom,A_0,"['palatal', 'palatial', 'palatin']","...pour venir le déposer dans une des salles du palais où le souverain avait l’habitude, pendant la période du ramadan, de présider...",palais||nom||A_0
texte,nom,A_0,['textuel'],"Ce texte devra être d’une forme sans défaut et présenter un intérêt certain, soit par...",texte||nom||A_0
cousu,nom,A_0,['cousu'],...restés fidèles aux techniques traditionnelles du cousu main. Le principe de fabrication des chaussures cousues consiste à relier par...,cousu||nom||A_0
frère,nom,A_0,['fraternel'],"Mon oncle Albert Genevoix, frère cadet de mon père, a été sa vie durant notaire à Champigny-sur-Veude.",frère||nom||A_0
utilement,adverbe,A_0,['utile'],"...égarement me semblait trop grand pour m’éclairer utilement sur ce qui m’intéressait chez les hommes, et dans cette population paysanne,...",utilement||adverbe||A_0
compétition,nom,A_0,['compétitif'],"Dimanche soir, je suis rentré tout cassé après ma compétition de judo.",compétition||nom||A_0
odieusement,adverbe,A_0,['odieux'],"...Djamila, en souvenir de l’héroïne algérienne odieusement torturée que j’avais défendue.",odieusement||adverbe||A_0
fil,nom,A_0,['filaire'],"...déperditions, du fait de l’échauffement des fils. Ainsi alors qu’en France la distance moyenne parcourue est de 80 km, en Bretagne,...",fil||nom||A_0
châtain,nom,A_0,['châtain'],"...tirant peu à peu, l’âge ingrat venant, vers le châtain, couleur fade.",châtain||nom||A_0
entièrement,adverbe,A_0,['entier'],"— Vite, vite, dit-il à ma mère, lave-le entièrement, les mains, la figure, le cou, les pieds.",entièrement||adverbe||A_0
arrière,nom,A_0,['arrière'],"...touchaient le guidon, mais en m’installant sur l’arrière de la selle, cela pouvait encore aller.",arrière||nom||A_0
caravane,nom,A_0,['caravanier'],"...temps ne se prêtait pas à lever la moindre caravane, ils se firent indiquer les points d’eau et les points de non-retour, puis s’engouffrèrent...",caravane||nom||A_0
histoire,nom,A_0,['historique'],"...de plus, bons ou mauvais, en définitive, l’Histoire avec un H majuscule n’aurait pas été modifiée.",histoire||nom||A_0
grandeur,nom,A_0,['grand'],"...for intérieur, il ne doutait de lui, ni de la grandeur de sa mission, ni du succès final de ce bon combat auquel il donnait toutes...",grandeur||nom||A_0
île,nom,A_0,['insulaire'],"...dont la première préoccupation en abordant son île est, en bon Anglais, de se fabriquer un parapluie : je ne parvenais pas à dépasser...",île||nom||A_0
remarquablement,adverbe,A_0,['remarquable'],"...passant par un andante méditatif, le piano est remarquablement timbré. Pas d’effets gratuits, pas de pédale superflue.",remarquablement||adverbe||A_0
langue,nom,A_0,"['linguistique', 'lingual']","...buvez. Vroom vroom. Vous avez d’abord sur la langue, puis dans le gosier, puis dans l’œsophage, puis dans l’estomac et tout de suite...",langue||nom||A_0
opération,nom,A_0,['opératoire'],...farceur pour quelqu’un qui se réveille d’une opération avec anesthésie générale.,opération||nom||A_0
allemand,nom,A_0,['allemand'],"...soulever de terre, et s’esclaffer avec lui en allemand, comme il le faisait avec moi six mois plus tôt.",allemand||nom||A_0
été,nom,A_0,['estival'],"...en chemise ou en robe légère, cela sentait l’été et le Sud.",été||nom||A_0
Russie,nom,A_0,['russe'],...habitant de Champdeniers : « Y z’ont qu’à aller en Russie ; y en a des châteaux là-bas ! »,Russie||nom||A_0
particulièrement,adverbe,A_0,['particulier'],...de sport et je comptais me spécialiser tout particulièrement dans l’escrime et la lutte gréco-romaine.,particulièrement||adverbe||A_0
boche,nom,A_0,['boche'],"— Toi, alors ! Bien sûr, tu parles boche !",boche||nom||A_0
rose,nom,A_0,['rose'],"...grosses pivoines bouffies dont le grenat, le rose et le vert égayaient le centre de la table.",rose||nom||A_0
contester,verbe,A_0,['contestataire'],...dossier ait été déclaré irrecevable et qu’ils contestent cette décision.,contester||verbe||A_0
délit,nom,A_0,['délictueux'],"...fin de vie sordide, commettant sans cesse des délits liés à son alcoolisme, allant de prison en hôpital, refusant le changement de...",délit||nom||A_0
flegme,nom,A_0,['flegmatique'],"Avec son flegme et son humour naturel, l’homme qui fait rire tout le pays essaie de déstabiliser...",flegme||nom||A_0
nord,nom,A_0,"['septentrional', 'nord']",...la treille veuve de fruits le cruel vent du nord pourchasse les flocons.,nord||nom||A_0
masse,nom,A_0,['massique'],"La masse d’un nucléon stable étant inférieure à la somme des masses qui le constituent,...",masse||nom||A_0
conflit,nom,A_0,['conflictuel'],"Les conflits, quelquefois, atteignent des pics cinglants : avec quatre couchettes pour une...",conflit||nom||A_0
excepter,verbe,A_0,['exceptionnel'],"...anthropomorphe que bien de mes semblables, sans m’excepter.",excepter||verbe||A_0
adversaire,nom,A_0,['adverse'],"...à enlever, ou, plus simplement, à tuer ses adversaires.",adversaire||nom||A_0
futur,nom,A_0,['futur'],"...l’autre cours du temps, puissant et tendu vers le futur, tel un fleuve souterrain et un fleuve de sang, image récurrente dans le roman,...",futur||nom||A_0
immensité,nom,A_0,['immense'],"...ciel, sûrement. Ce jour où il a ressenti l’immensité inexplicable du monde dans lequel il vivait. Ce jour-là, il a inventé les dieux,...",immensité||nom||A_0
politique,nom,A_0,['politique'],"Dans les pays occidentaux, la politique menée par l’État en conformité avec le plan doit traduire l’intérêt général...",politique||nom||A_0
probablement,adverbe,A_0,['probable'],"...un ponton sur ce côté de la rivière, ils ont probablement voulu traverser le Doubs pour accoster sans respecter le panneau, qui se trouve...",probablement||adverbe||A_0
fébrilité,nom,A_0,['fébrile'],La fébrilité sur les places boursières a favorisé une ruée vers les valeurs refuges qui s’est...,fébrilité||nom||A_0
roux,nom,A_0,['roux'],"...l’orangé au miel, du « camel » à l’ivoire, du roux au brun « tête de nègre », avec par-ci par-là quelques teintes inattendues,...",roux||nom||A_0
électronique,nom,A_0,['électronique'],"...métallurgie à la plasturgie, en passant par l’électronique.",électronique||nom||A_0
rythmiquement,adverbe,A_0,['rythmique'],"...ses doigts, falote dans le plein jour ; et rythmiquement des bouffées de fumée nimbent sa tête, bleuâtres et lentes à se dissoudre.",rythmiquement||adverbe||A_0
scientifiquement,adverbe,A_0,['scientifique'],"...500 connues, contre 80 en France), d’étudier scientifiquement leur germination en plein cœur du Jura, et de créer à Juruena au Brésil une...",scientifiquement||adverbe||A_0
héliporter,verbe,A_0,['héliporté'],"...crânien, il a même été un moment envisagé de l’héliporter.",héliporter||verbe||A_0
identité,nom,A_0,['identitaire'],"...due ni à l’estime ni à la sympathie, mais à l’identité de situation.",identité||nom||A_0
ennemi,nom,A_0,['ennemi'],"...face de l’abbé de Cîteaux (qui était alors son ennemi juré), il n’était pas là pour dire oui ni non, mais seulement parce qu’on n’avait...",ennemi||nom||A_0
respectueusement,adverbe,A_0,['respectueux'],"...main dans la main, elles s’écartaient toujours respectueusement et complimentaient ma mère sur ma bonne mine.",respectueusement||adverbe||A_0
avocat,nom,A_0,['avocassier'],Ma mère loua les services d’un avocat et organisa si bien la défense de mon père qu’il évita la prison,avocat||nom||A_0
vestimentairement,adverbe,A_0,['vestimentaire'],"...bruns, même coupe de cheveux, même visage, vestimentairement aussi.",vestimentairement||adverbe||A_0
sainement,adverbe,A_0,['sain'],"...les plus basiques : respirer, manger, vivre sainement.",sainement||adverbe||A_0
insecticide,nom,A_0,['insecticide'],Je m’étais arrosé d’insecticide et seule une punaise parvint à s’insinuer entre ma chemise et mon pantalon me...,insecticide||nom||A_0
haute mer,locution nominale,A_0,['hauturier'],...elles font piètre figure auprès des navires de haute mer.,haute mer||locution nominale||A_0
démocratie,nom,A_0,['démocratique'],"...la Tchécoslovaquie a sauté ce week-end. La Démocratie, vous dit-on, en oubliant de noter que tous ces pauvres gens n’ont rien à bouffer...",démocratie||nom||A_0
musée,nom,A_0,['muséal'],Quand Pierre se rend au musée Guimet et interrompt une conférence sur le Tibet en hurlant : « Cet homme est...,musée||nom||A_0
contrôle,nom,A_0,['contrôlant'],...opérations héliportées sont prévues pour prendre le contrôle des points stratégiques des différentes zones opérationnelles et réparer les...,contrôle||nom||A_0
port,nom,A_0,['portuaire'],"...j’ai vu des tas de bateaux qui entraient au port, tout chargés de gens qui se penchaient sur le bastingage en agitant des mouchoirs,...",port||nom||A_0
désastre,nom,A_0,['désastreux'],"Un vrai désastre. Cinq cents personnes dans la salle, trois rangs de journalistes et les applaudissements...",désastre||nom||A_0
coton,nom,A_0,['cotonnier'],"...chiquer ou à inhaler, sept coudées de bandes de coton blanc, un coquelet et un morceau de sel gemme.",coton||nom||A_0
thorax,nom,A_0,['thoracique'],Ce gros ventre contraste avec un thorax et des membres supérieurs où les muscles ont fondu.,thorax||nom||A_0
magie,nom,A_0,['magique'],"...elle est, pour nous, l’idée mère de la magie, puisque les faits que nous décrivons sont parmi ceux qui lui correspondent le mieux,...",magie||nom||A_0
christianisme,nom,A_0,['chrétien'],...seul le bouddhisme pouvait se mesurer avec le christianisme et avec la pensée occidentale.,christianisme||nom||A_0
feuille,nom,A_0,['foliaire'],...l’air de vieux barbus tant les rejets et les feuilles garnissent les troncs jusqu’à hauteur des passants.,feuille||nom||A_0
énergie,nom,A_0,['énergétique'],"...découvert en effet, dans l’électricité, une énergie silencieuse, propre, facile à transporter, au moins sur de courtes distances...",énergie||nom||A_0
amour,nom,A_0,['amoureux'],...de savoir quel souvenir tu garderas de ton amour pour moi. Je ne voudrais pas que tu te le reproches comme une faiblesse. Je...,amour||nom||A_0
oreille,nom,A_0,['auriculaire'],J’avais les oreilles bouchées. Je ne l’écoutais pas. Il pouvait me faire tous les discours qu’il...,oreille||nom||A_0
orageusement,adverbe,A_0,['orageux'],...attendre la fin du concours pour se dégrader orageusement.,orageusement||adverbe||A_0
modernité,nom,A_0,['moderne'],"...la manière dont les artistes iraniens de la modernité ont réussi à faire œuvre en adhérant à la fois, par exemple, au cubisme et en...",modernité||nom||A_0
goût,nom,A_0,['gustatif'],"Je retrouvai le goût exact du café d’Adèle, un peu amer, un peu caramélisé.",goût||nom||A_0
ail,nom,A_0,['alliacé'],"...gourmandes de brandade. – En Parmentier : avec ail et fines herbes hachés, elle se glisse entre 2 couches de purée de pommes de terre...",ail||nom||A_0
bordeaux,nom,A_0,['bordeaux'],"...donne une teinte plus foncée, tirant vers le bordeaux.",bordeaux||nom||A_0
objectivement,adverbe,A_0,['objectif'],"...une liste d’augmentation de prix qui donne objectivement le tournis : + 42 % pour les steaks hachés, + 32 % pour les coquillettes, + 35 %...",objectivement||adverbe||A_0
judicieusement,adverbe,A_0,['judicieux'],"...percussion, tandis que les instruments à clavier sont judicieusement postés à la frontière des percussions et des sons continus.",judicieusement||adverbe||A_0
papeterie,nom,A_0,['papetier'],...premier lieu aux essences résineuses que nos papeteries font appel et malheureusement la forêt française est surtout composée de feuillus.,papeterie||nom||A_0
flore,nom,A_0,['floristique'],"Rivières, forêts, lacs, faune, flore, le département ne manque pas de ressources naturelles, et offre des possibilités...",flore||nom||A_0
potentiellement,adverbe,A_0,['potentiel'],...crois avoir trouvé un nouveau bouffeur de temps potentiellement pire que le précédent.,potentiellement||adverbe||A_0
pasteur,nom,A_0,['pastoral'],"...jeunes hommes encore adolescents, le vieux pasteur avait pleuré de joie à reconnaître ses brebis.",pasteur||nom||A_0
crime,nom,A_0,['criminel'],"On l’accusa de crimes imaginaires, d’avoir protégé des criminels de guerre, qu’en vérité elle voulait...",crime||nom||A_0
Thaïlande,nom,A_0,['thaïlandais'],"Le Triangle d’Or entre Birmanie, Thaïlande et Laos, a été la première région de production d’opium dans le monde.",Thaïlande||nom||A_0
rêver,verbe,A_0,['onirique'],"...sa conasse, son bouton, sa framboise, il en a rêvé toute la nuit, il n’a pas cessé de triquer en y pensant, sans doute cela explique-t-il...",rêver||verbe||A_0
désespoir,nom,A_0,['désespéré'],"...je suis forte, mais je ne le crois pas, le désespoir m’envahit, je suis petite, impuissante. »",désespoir||nom||A_0
touristiquement,adverbe,A_0,['touristique'],"Le Tanger de Paul Bowles, touristiquement, était plus attrayant.",touristiquement||adverbe||A_0
ion,nom,A_0,['ionique'],...gagner des électrons et se transformer en ions ; — soit se lier à d’autres atomes en formant avec eux des liaisons covalentes et...,ion||nom||A_0
étudiante,nom,A_0,"['estudiantin', 'étudiant']","...pratiques d’anglais, biologie... tout pour rester étudiante et retarder l’entrée dans l’arène, où il faudrait « tenir la dragée haute »...",étudiante||nom||A_0
ostensiblement,adverbe,A_0,['ostensible'],"Je me suis pliée fièrement, ostensiblement aux injonctions du carnet de sécu, le meilleur lait c’est le lait maternel,...",ostensiblement||adverbe||A_0
Mexique,nom,A_0,['mexicain'],"...les quatre-vingt-huit journées de prison au Mexique, et l’impossibilité de retourner, pour l’instant, dans ce pays.",Mexique||nom||A_0
hôpital,nom,A_0,['hospitalier'],"À l’hôpital, Luc, qui semblait ne souffrir de rien, est mort au moment où je le prenais...",hôpital||nom||A_0
mensonge,nom,A_0,['mensonger'],...(mmmh !...) et cafés dégueu... (ce n’est pas un mensonge : le café US est vraiment mauvais !!),mensonge||nom||A_0
gendarme,nom,A_0,['gendarmesque'],"...dit, on va se faire gauler par ces pourris de gendarmes...",gendarme||nom||A_0
atrocement,adverbe,A_0,['atroce'],"...conversation que pendant la guerre de 1918 René a été atrocement blessé par trente-deux éclats d’obus, et qu’il a eu les deux bras et les deux...",atrocement||adverbe||A_0
rareté,nom,A_0,['rarement'],"La rareté de ses visites aux Armand tient en grande partie à ce motif qu’il faut, pour...",rareté||nom||A_0
éléphant,nom,A_0,['éléphantin'],"...peut compter sur ses amis, les singes, les éléphants, les hippopotames sur le dos desquels il traverse les fleuves à l’abri des crocodiles,...",éléphant||nom||A_0
anarchiste,nom,A_0,['anarchiste'],"...en revanche, était un type sympathique, un anarchiste, assez porté sur la bouteille.",anarchiste||nom||A_0
dîner,nom,A_0,['dînatoire'],"Après un excellent dîner composé de couscous de mouton et de lait frais, le grand interprète alla s’étendre...",dîner||nom||A_0
famille,nom,A_0,['familial'],"...élégante, notre père est le seul membre de la famille à envisager avec soulagement notre retour sur le continent, après un mois.",famille||nom||A_0
individuellement,adverbe,A_0,['individuel'],...souligner qu’il ne faut pas laver chaque couleur individuellement.,individuellement||adverbe||A_0
ingratement,adverbe,A_0,['ingrat'],"...bonne sœur de Saint- Vincent-de-Paul dont j’ai ingratement oublié le nom en religion, mais que certains prétendaient issue d’une riche...",ingratement||adverbe||A_0
Américain,nom,A_0,['américain'],"Elle parlait américain. Drifter lui répondait de même, et je ne sus pas s’ils étaient conscients que...",Américain||nom||A_0
ascèse,nom,A_0,['ascétique'],"Petit, frêle, il s’impose une ascèse pour être à la hauteur de son rêve.",ascèse||nom||A_0
profession,nom,A_0,['professionnel'],...gauche et lui épargna le souci de se choisir une profession.,profession||nom||A_0
activement,adverbe,A_0,['actif'],"...dans l’industrie du vêtement où les Unions ont activement collaboré avec le patronat pour abaisser les prix de revient, accroître la production,...",activement||adverbe||A_0
élégamment,adverbe,A_0,['élégant'],"...avait l’air intelligent, prospère, vêtu de lin élégamment froissé, et elle, petite et maigre, montrait de partout son usure, et je ne...",élégamment||adverbe||A_0
innocemment,adverbe,A_0,['innocent'],"De tous les dessins animés censés divertir innocemment mon enfance, La Belle au bois dormant fut celui qui m’impressionna le plus.",innocemment||adverbe||A_0
art,nom,A_0,['artistique'],La danse est un art de mouvement.,art||nom||A_0
nation,nom,A_0,['national'],"...sa force était grande. Il voulait briser les nations, fonder un empire, régner ; il voulait être, saisir le monde connu dans sa poigne,...",nation||nom||A_0
clown,nom,A_0,['clownesque'],"Dans son habit de clown pailleté et sa superbe trompette, Pipo a ravi son public, en le faisant participer...",clown||nom||A_0
odorat,nom,A_0,['olfactif'],"...vois les sons et entends les couleurs, mon odorat, ma vue et mon ouïe fusionnent.",odorat||nom||A_0
écolier,nom,A_0,['écolier'],"...profondément l’opinion des Etats-Unis : des écoliers américains, soumis à un test musculaire, n’avaient pas atteint le niveau exigé...",écolier||nom||A_0
intérieurement,adverbe,A_0,['intérieur'],...Peggy qui semble être désespérément torturée intérieurement et qui rêve de sortir de son « enfer » où elle est enfermé malgré elle.,intérieurement||adverbe||A_0
Asie,nom,A_0,['asiatique'],...fruits et originaires des régions froides d’Asie et d’Amérique.,Asie||nom||A_0
mai 68,locution nominale,A_0,['soixante-huitard'],"...d’Espagne à notre porte, l’Occupation, et même mai 68.",mai 68||locution nominale||A_0
symptôme,nom,A_0,['symptomatique'],"...elles pelaient de façon spectaculaire, l’un des symptômes de cette maladie.",symptôme||nom||A_0
paralytique,adjectif,A_0,['paralysie'],...encore sont de bon pronostic ; des syndromes paralytiques ont parfois été décrits.,paralytique||adjectif||A_0
vaccin,nom,A_0,['vaccinal'],"Ce vaccin a le grand avantage de se présenter sous la forme d’une poudre pour prise orale,...",vaccin||nom||A_0
foie,nom,A_0,['hépatique'],"...nombre d’organes abdominaux en particulier le foie, la vésicule biliaire, la rate, le péritoine mais également si cela est nécessaire...",foie||nom||A_0
soupçonneusement,adverbe,A_0,['soupçonneux'],Pons le considéra soupçonneusement.,soupçonneusement||adverbe||A_0
volontairement,adverbe,A_0,['volontaire'],"— Nul n’est méchant volontairement : c’est Platon qui le dit,... dans des conflits meurtriers. Ils en sortent par...",volontairement||adverbe||A_0
ouvrière,nom,A_0,['ouvrier'],"...une étudiante de la fac de lettres comme une ouvrière du textile ou une vendeuse de Monoprix, ainsi que je l’ai découvert le soir...",ouvrière||nom||A_0
sœur,nom,A_0,['sororal'],"...éclair à la famille de mon filleul (ma tante, sœur de ma mère).",sœur||nom||A_0
modérément,adverbe,A_0,['modéré'],"...mal aux yeux — en ce temps-là, je fumais très modérément, buvais peu, n’ayant pas d’états d’âme à noyer.",modérément||adverbe||A_0
étranger,nom,A_0,['étranger'],"...pays de résidence. En 1994, seulement deux étrangers s’étaient présentés en France, tous deux Néerlandais et en position inéligible.",étranger||nom||A_0
tactique,nom,A_0,['tactique'],"...coup du mépris. Aujourd’hui, changement de tactique : ils font de la présence. Et quelle présence ! L’usine entière résonne de leurs...",tactique||nom||A_0
corail,nom,A_0,['corallien'],"...montagnes, en semant sur leur parcours galets, corail, mollusques et coquillages.",corail||nom||A_0
cil,nom,A_0,['ciliaire'],"...avec de grands yeux noirs gambergeurs, des cils incroyables, des muscles longs qui saillaient sous la peau.",cil||nom||A_0
clandestinement,adverbe,A_0,['clandestin'],"...marocaine illégale en France. La femme, revenue clandestinement et désormais en situation irrégulière, refuse de dire où sont les enfants.",clandestinement||adverbe||A_0
dimension,nom,A_0,['dimensionnel'],"...c’est que les pièces sont toutes de petite dimension, et par conséquent peu appropriées aux meubles somptueux qui les remplissent.",dimension||nom||A_0
musique,nom,A_0,['musical'],"Hier, Nadia Boulanger tenait le piano. Belle musique trop simple pour beaucoup plaire, des accords un peu sourds, des notes qui se...",musique||nom||A_0
télévision,nom,A_0,['télévisuel'],"Philippe Langlet, ex-présentateur vedette de la télévision française, a été poignardé dans les douches du pénitencier de Maha (New Jersey).",télévision||nom||A_0
compassion,nom,A_0,['compassionnel'],...de Noël lui rend visite au Canada. Mais la compassion de Francis pour sa grand-mère va se briser en morceaux l‘instant suivant lorsqu’elle...,compassion||nom||A_0
superbement,adverbe,A_0,['superbe'],"...serviettes inavouables, alors qu’eux passaient si superbement de l’enfance à l’âge d’homme sans subir cette ordalie humiliante.",superbement||adverbe||A_0
homme,nom,A_0,['humain'],"...« et, par conséquent, devenus une menace pour l’homme », a déclaré le porte-parole des KWS.",homme||nom||A_0
humanité,nom,A_0,['humanitaire'],"...vagabond que l’Amérique connaît bien, est plein d’humanité... mais il ne doit en aucun cas devenir un rouge, le public ne lui pardonnerait...",humanité||nom||A_0
enfant,nom,A_0,['enfantin'],"Huit enfants, âgés de 7 à 12 ans, accueillis par le maire Jean-Marie R. et Gilles S. du foyer...",enfant||nom||A_0
Antarctique,nom,A_0,['antarctique'],"...d’un navire-usine chinois en feu au large de l’Antarctique, le mercredi 17 avril.",Antarctique||nom||A_0
béer,verbe,A_0,['bée'],...cette jeunesse et les membres de sa famille béent d’admiration en le contemplant.,béer||verbe||A_0
sympathiquement,adverbe,A_0,['sympathique'],"...Constantinople, nous a accueilli fraternellement, sympathiquement, c’est pourquoi j’aurais aimé prolonger un peu ce plaisir...",sympathiquement||adverbe||A_0
élire,verbe,A_0,['électoral'],"...entreprendre dans un proche avenir, le bureau a élu son nouveau président : Alain B.",élire||verbe||A_0
facultativement,adverbe,A_0,['facultatif'],"Les étudiants peuvent souscrire facultativement auprès d’une mutuelle étudiante ou non, ou de toute compagnie d’assurance de...",facultativement||adverbe||A_0
rockeur,nom,A_0,['rockeur'],"...chaise. Je la brandis et je l’écrase sur le petit rocker qui s’écroule en glapissant. Au même instant, un flash crépite. Brenda a tout...",rockeur||nom||A_0
mari,nom,A_0,['marital'],"...plupart ont déjà perdu un frère, un père ou un mari, et ces veuves éternelles, tenues à se voiler de noir jusqu’au tombeau, font...",mari||nom||A_0
piétonne,nom,A_0,"['piéton', 'piétonnier']",Un automobiliste renverse une piétonne et prend la fuite.,piétonne||nom||A_0
vent,nom,A_0,['éolien'],"...vivait, coupée des brises de mer comme des vents de la montagne : un four en ces derniers jours d’un mois de juin torride.",vent||nom||A_0
tragédie,nom,A_0,['tragique'],"Ce personnage quasi muet dans les tragédies d’Euripide ou de Sophocle, un peu plus « causant » chez Racine, prend une réelle...",tragédie||nom||A_0
lymphe,nom,A_0,['lymphatique'],...mésenchymateux deviendra le hile ; les voies de la lymphe dériveront de la lumière du lac lymphatique.,lymphe||nom||A_0
musculairement,adverbe,A_0,['musculaire'],...chez les névrosés affectivement bloqués et musculairement hypertoniques des explosions de colère.,musculairement||adverbe||A_0
économie,nom,A_0,['économique'],"À la faculté de droit et d’économie de la Sorbonne, place du Panthéon, quelques jours après, Frédéric attend son...",économie||nom||A_0
compatir,verbe,A_0,['compassionnel'],...agréable compagnie si elle avait bien voulu compatir à ses malheurs.,compatir||verbe||A_0
proprement,adverbe,A_0,['propre'],"...garçon boucher de son état, il avait fait ça proprement, et il avait même essuyé le couteau.",proprement||adverbe||A_0
climat,nom,A_0,['climatique'],"...d’horticulture pour comprendre que sous ce climat désertique, c’était le cœur de la vie végétale du jardin qui gisait à mes pieds.",climat||nom||A_0
bourse,nom,A_0,['boursier'],...avec les gens qui dansent et les cours de la bourse qui grimpent.,bourse||nom||A_0
textile,nom,A_0,['textile'],"...propriétés particulières présentées par ces textiles ; c’est-à-dire la résistance à l’usage, la tenue aux lavages, le non-relargage...",textile||nom||A_0
luxe,nom,A_0,['luxueux'],...publicité fortement axée sur les produits de luxe peut donner l’impression que le cigare est surtout un plaisir cher et occasionnel...,luxe||nom||A_0
mémoire,nom,A_0,"['mnémonique', 'mémoriel']","...idées, enfouissant images et propos dans sa mémoire d’éléphant.",mémoire||nom||A_0
nuit,nom,A_0,['nocturne'],"Lorsque nous sortons, le soir, il fait nuit. Lorsque nous reprenons, à l’aube, il fait nuit. Nous ne vivons plus qu’à la...",nuit||nom||A_0
énergiquement,adverbe,A_0,['énergique'],"Depuis trois jours déjà, ils foulent énergiquement les chemins terreux du Massif Central.",énergiquement||adverbe||A_0
zoologie,nom,A_0,['zoologique'],"...des disciplines, la physique, la chimie, la zoologie, la botanique et la géologie, bonne dernière.",zoologie||nom||A_0
gymnastique,nom,A_0,"['gymnique', 'gymnastique']",Systématiquement dispensée de gymnastique par ma mère jusqu’à l’âge de quatorze ans (le sport devant nécessairement selon...,gymnastique||nom||A_0
miracle,nom,A_0,['miraculeux'],"...et depuis longtemps je ne croyais plus aux miracles ; il ne suffisait pas de ce morceau de papier pour bousculer le temps, l’espace...",miracle||nom||A_0
